James Ptacek, Professor & Chair                
Tan VoVan, Professor                
Tom McGrath, Associate Professor & Chair                
Rachael Cobb, Associate Professor & Chair                
Rosemarie DiBiase, Associate Professor                
Lotte Smith-Hansen, Assistant Professor of Clinical Practice & Clinical Training Coordinator                
Matthew Jerram, Associate Professor                
Carmen Veloria, Associate Professor                
Nancy Hackett, Associate Professor & Program Director                
William Good, Professor Emeritus                
Sheila Mahoney, Associate Professor                
Louis Foglia, Instructor                
Evgenia Cherkasova, Associate Professor                
Yvonne Wells, Associate Professor                
Micky Lee, Associate Professor                
Geraldine Manning, Associate Professor                
Wyatt Bonikowski, Associate Professor                
Kevin Carragee, Professor                
Richard Miller, Associate Professor                
Robert Rosenthal, Associate Professor & Chair                
Nir Eisikovits, Associate Professor                
Ilona Anderson, Associate Professor                
Doris Lewis, Professor Emerita                
Susan Nichter, Professor                
Fred Marchant, Professor Emeritus                
Susan Orsillo, Professor                
Laura Golly, Professor & Program Director                 
Steven Novick
Michael Siegel, Associate Professor                
Iani Moreno, Associate Professor                
Scott Lussier, Practitioner in Residence                
Rachael Kipp, Associate Professor & Chair                
Yan Lin, Visiting Assistant Professor                
Sukanya Ray, Associate Professor                
Marlene McKinley, Professor                
Celeste Peterson, Assistant Professor                
Steve Harvey, Visiting Assistant Professor                
Darlene C. Chisholm, Professor                
Lisa Shatz, Associate Professor                
Roberto Dominguez, Associate Professor                
Judith Dushku, Associate Professor Emerita                
Tram Lai, Instructor                
Edith Enyedy, Instructor                
John Cavanagh, Professor Emeritus                
Paul N. Ezust, Professor Emeritus                
Barbara Abrams, Associate Professor                
Felicia Wiltz, Associate Professor                 
Marilyn Jurich, Associate Professor Emerita                
Eric Dewar, Associate Professor                
D. Quentin Miller, Professor & Chair                
Wallace Marosek, Associate Professor                 
Martha Richmond, Professor                 
Richard Chambers, Associate Professor                
John Holley, Associate Professor                
Michael Basseches, Professor Emeritus                
Denyce Wicht, Associate Professor                
Jay Rosellini, Professor                
Averil Clarke, Assistant Professor                
Edgar Karapetian, Research Associate Professor                
Graham Kelder, Associate Professor                
Edith Cook, Associate Professor & Chair                
Wesley Savick, Professor                
Susan Westcott Alessandri, Associate Professor                
Robert Allison, Professor & Chair                
Erika Gebo, Associate Professor                
Walter Johnson, Professor                
In-Mee Baek, Professor                
Jeppe von Platz, Assistant Professor                
Weiqi Zhang, Assistant Professor                
Patricia A. Reeve, Associate Professor                
Beatrice Snow, Professor Emerita                
Michael K. Suvak, Assistant Professor                
Prashant Sharma, Associate Professor & Chair                
Lydia Martin                
Mark Brus, Associate Professor                
Lauren Nolfo-Clements, Associate Professor & Chair                
Michele Plott, Associate Professor                
Amy Marks, Associate Professor                
Thomas Trott, Associate Professor                
Lisa Coyne, Associate Clinical Professor                
Lisa Celovsky, Associate Professor & Associate Dean of CAS                
Chathan Cooke, Visiting Professor                
Pradeep Shukla, Professor                
Charles Cramer, Associate Professor                
Amy Agigian, Associate Professor                
Robert Laffey, Senior Instructor                
Elizabeth Robinson, Assistant Professor                
Bruce F. Wickelgren, PhD                
Gabrielle Liverant, Assistant Professor                
Barbara Ash, Professor                
Stevan Radojev, Senior Instructor                
Marilyn Plotkins, Professor & Chair                
