Extracting links from main url...
Extracting individual faculty info...
Ilona Anderson                 ['Education', 'MFA, School of the Museum of Fine Arts / Tufts University']
Harry Bartnick                 ['Education', 'MFA, Syracuse University', 'BFA, Tyler School of Art, Temple University']
Linda Brown                    ['Education', 'MA, Painting, Rhode Island School of Design']
Mark Brus                      ['Education']
Karen Clarke                   ['Education', 'MFA, Boston University']
Rita Daly                      ['Education', 'MFA, Printmaking, Connecticut College', 'BFA, Interior Design, Pratt Institute']
Lisa French                    ['Education', 'MFA, Interdisciplinary Art, Goddard College', 'BFA, Illustration, California State University, Long Beach']
Jennifer Fuchel                ['Education', 'MFA, Boston University', 'BFA, Binghamton University']
Anna Gitelman                  ['Education']
Audrey Goldstein               ['Education', 'MFA, Sculpture, Massachusetts College of Art & Design', 'BFA, Tufts University and School of the Museum of Fine Arts']
Laura Golly                    ['Education']
Nancy Hackett                  ['Education', 'MA, Interior Design & Resource Management,\xa0University of Connecticut', 'BA, Art History, University of Colorado']
Wallace Marosek                ['Education', 'MFA, Painting, State University of New York at Buffalo', 'MFA, Graphic Design, Yale University']
Lydia Martin                   ['Education']
Susan Nichter                  ['Education', 'MFA, Boston University', 'BFA, Boston University']
Steve Novick                   ['Education', 'MFA, Painting, Cranbook Academy of Art', 'BFA, Illustration, Rhode Island School of Design']
Sean Solley                    ['Education']
Randal Thurston                ['Education', 'MFA, School of the Museum of Fine Arts / Tufts University', 'BFA, Southeastern Massachusetts University']
Peter Burn                     ['Education', 'PhD, University of New Hampshire', 'MS, Northeastern University', 'BA, University of Pennsylvania']
Eric Dewar                     ['Education', 'PhD, University of Massachusetts Amherst', 'MS, University of Colorado at Boulder', 'BS, Tufts University']
Bernice Martin                 ['Education', 'PhD, SUNY Downstate Medical Center', 'BA, CUNY Hunter College']
Annette McGehee                ['Education', 'PhD, Harvard University', 'BS, University of Utah']
Carl Merrill                   ['Education', 'PhD, Boston University', 'MS, University of Delaware', 'BS, Suffolk University']
Lauren Nolfo-Clements          ['Education', 'PhD, Tulane University', 'BS, The College of New Jersey']
Celeste Peterson               ['Education', 'PhD, Princeton University', 'BS, Yale University']
Beatrice Snow                  ['Education', 'MDiv, Gordon-Cornwell Theological Seminary', 'PhD, University of New Hampshire', 'MS, University of New Hampshire', 'AB, Suffolk University']
Gregory Thill                  ['Education', 'PhD, State University of New York, Buffalo', 'BA, Canisius College']
Thomas Trott                   ['Education', 'PhD, Boston University', 'MA, Wake Forest University', 'BS, University of Massachusetts, Dartmouth']
Melanie Berkmen                ['Education', 'PhD, University of Wisconsin, Madison', 'BS, University of Dayton, summa cum laude']
Edith Enyedy                   ['Education', 'PhD, The Catholic University of America', 'MS, The Catholic University of America']
William Good                   ['Education', 'PhD, Massachusetts Institute of Technology', 'BA, Kalamazoo College']
Patricia Hogan                 ['Education', 'PhD, Brown University', 'MA, Bridgewater State College', 'MS, University of Massachusetts, Amherst', 'BS, University of Massachusetts, Amherst']
Rachael Kipp                   ['Education', 'PhD, Tulane University', 'BS, University of Rochester']
Tram Lai                       ['Education', 'MPA, Suffolk University', 'BA, Suffolk University']
Doris Lewis                    ['Education', 'PhD, Tufts University', 'BS, Duke University']
Yan Lin                        ['Education', '•\tPhD, University of Colorado, Boulder, CO', '•\tMS, Chinese Academy of Sciences, Beijing, P. R. China', '•\tBE, Tsinghua University, Beijing, P. R. China']
Martha Richmond                ['Education', 'PhD, Tufts University', 'MPH, Harvard School of Public Health', 'BA, Wellesley College']
Denyce Wicht                   ['Education', 'PhD, Dartmouth College', 'BA, University of Vermont']
Susan Westcott Alessandri      ['Education', 'PhD, University of North Carolina at Chapel Hill', 'MA, Northeastern University', 'BS, Framingham State College']
Barbara Ash                    ['Education', 'EdD, Boston University', 'Ed, Boston University', 'BS, Boston University']
Gloria Boone                   ['Education', 'PhD, Ohio University', 'MA, Temple University', 'BA, The Pennsylvania State University']
Bruce Butterfield              ['Education', 'BS, Suffolk University']
Kevin Carragee                 ['Education', 'PhD, University of Massachusetts, Amherst', 'MS, Shippensburg University', 'BA, Adelphi University']
Deborah Geisler                ['Education', 'PhD, Southern Illinois University, Carbondale', 'MA, Ohio University', 'BS, Ohio University']
Steve Harvey                   ['Education', 'MA, The Ohio State University', 'BS, Kent State University']
Cynthia Irizarry               ['Education', 'PhD, University of Nebraska', 'MA, Wayne State University', 'BA, Wayne State University']
Frank Irizarry                 ['Education', 'PhD, University of Florida', 'MA, Northern Illinois University', 'BA, Marist College']
Vicki Karns                    ['Education', 'PhD, Wayne State University']
Micky Lee                      ['Education', 'PhD, University of Oregon', 'MPhil, City University of Hong Kong', 'BSSC, Hong Kong Baptist University']
Shoshana Madmoni-Gerber        ['Education', 'PhD, University of Massachusetts, Amherst', 'MA, Hebrew University', 'BA, Bar-Ilan University']
Richard Preiss                 ['Education', 'PhD, Syracuse University', 'MA, Syracuse University', 'BA, Syracuse University']
Monika Raesch                  ['Education']
David Reeder                   ['Education', 'MS, Suffolk University', 'BA, University of Kentucky']
Robert Rosenthal               ['Education', 'PhD, Bowling Green State University', 'MA, Bowling Green State University', 'BA, Boston College']
Jane Secci                     ['Education', 'PhD, New York University', 'MA, New York University', 'BA, New York University']
Bruce F. Wickelgren            ['Education', 'PhD, Ohio University', 'MA, Minnesota State University', 'BS, Minnesota State University']
In-Mee Baek                    ['Education', 'PhD, Indiana University']
Darlene C. Chisholm            ['Education']
Louis Foglia                   ['Education', 'MA, Northeastern University', 'BS, Northeastern University']
Jonathan Haughton              ['Education', '•\tPhD, Harvard University']
Jongbyung Jun                  ['Education', 'PhD, Michigan State University', 'BA, Seoul National University']
Alison Kelly                   ['Education', 'PhD, Boston College', 'MA, University of Southern California', 'BA, College of the Holy Cross']
Shahruz Mohtadi                ['Education', 'PhD, Louisiana State University', 'MS, Louisiana State University', 'BS, Louisiana State University']
David Tuerck                   ['Education', 'PhD, University of Virginia', 'MA, The George Washington University', 'BA, The George Washington University']
Elif Armbruster                ['Education', 'PhD, Boston University', 'MA, University of Southern Maine', 'BA, Haverford and Bryn Mawr Colleges (English and French)']
Jennifer Barber                ['Education', 'MFA, Columbia University', 'MA, Oxford University', 'BA, Colby College']
Wyatt Bonikowski               ['Education', 'PhD, Cornell University', 'MA, Cornell University', 'BA, University of California, Berkeley']
Lisa Celovsky                  ['Education', 'PhD, University of Toronto', 'MA, University of Toronto', 'BA, Pennsylvania State University']
Thomas Connolly                ['Education', 'PhD, Tufts University', 'MA, Boston University', 'BA, Suffolk University']
Leslie Eckel                   ['Education', 'PhD, Yale University', 'MPhil, University of Oxford', 'BA, Harvard University']
Peter Jeffreys                 ['Education', 'PhD, University of Toronto', 'MA, Boston College', 'BA, Hellenic College']
George Kalogeris               ['Education', 'PhD, Boston University', 'MA, Boston University', 'BS, Suffolk University']
Marilyn Jurich                 ['Education', 'PhD, Tufts University', 'MA, Northwestern University', 'BA, Hunter College']
Bette Mandl                    ['Education', 'EdD, Boston University', 'MA, New York University', 'BA, Brooklyn College']
Fred Marchant                  ['Education', 'PhD, University of Chicago', 'MA, University of Chicago', 'BA, Brown University']
Marlene McKinley               ['Education', 'PhD, University of Chicago', 'BA, Carnegie Mellon University']
Anthony Merzlak                ['Education', 'PhD, Harvard University', 'MA, Harvard University', 'BA, University of Southern California']
D. Quentin Miller              ['Education', 'PhD, University of Connecticut', 'MA, The College of William and Mary', 'BA, Boston College']
Richard Miller                 ['Education', 'PhD, Bowling Green State University', 'MA, New Mexico State University', 'BA, Minnesota State University, Moorhead']
Stuart Millner                 ['Education', 'AB, Boston University', 'AM, Brandeis University', 'PhD, Brandeis University']
Amy Monticello                 ['Education', 'MFA, The Ohio State University', 'BA, Ithaca College']
Gerald Richman                 ['Education', 'PhD, Yale University', 'MPhil, Yale University', 'BA, Oxford University', 'BA, University of Massachusetts, Amherst']
Bryan Trabold                  ['Education', 'PhD, University of Wisconsin, Madison', 'MA, University of Wisconsin, Madison', 'BA, George Washington University']
Da Zheng                       ['Education', 'PhD, Boston University', 'MA, Boston University', 'MA, Shanghai International Studies University', 'BA, Beijing Language and Culture University']
Agnes Bain                     ['Education', 'PhD, Boston University', 'BA, McGill University, Canada']
Eric Bellone                   ['Education', 'JD, University of New Hampshire Law School']
