,from,to
0,203,207
1,203,255
2,203,301
3,203,303
4,203,304
5,203,305
6,203,306
7,203,309
8,203,312
9,203,317
10,203,404
11,203,405
12,203,406
13,203,410
14,203,415
15,203,417
16,203,435
17,203,454
18,203,501
19,203,502
20,203,503
21,203,504
22,203,505
23,203,506
24,203,507
25,203,508
26,203,509
27,203,510
28,203,511
29,203,512
30,203,513
31,203,514
32,203,515
33,203,516
34,203,517
35,203,518
36,204,421
37,204,606
38,204,613
39,204,614
40,204,617
41,204,618
42,204,619
43,204,645
44,204,646
45,205,269
46,205,291
47,205,321
48,205,857
49,207,203
50,207,255
51,207,301
52,207,304
53,207,305
54,207,306
55,207,307
56,207,309
57,207,312
58,207,315
59,207,404
60,207,405
61,207,406
62,207,410
63,207,415
64,207,501
65,207,502
66,207,503
67,207,504
68,207,505
69,207,506
70,207,507
71,207,508
72,207,509
73,207,510
74,207,511
75,207,512
76,207,513
77,207,514
78,207,515
79,207,516
80,207,517
81,207,518
82,208,268
83,209,641
84,209,857
85,210,641
86,210,855
87,211,212
88,211,269
89,211,857
90,212,211
91,213,607
92,213,608
93,213,609
94,213,639
95,214,855
96,255,203
97,255,207
98,255,301
99,255,304
100,255,305
101,255,306
102,255,307
103,255,309
104,255,312
105,255,405
106,255,406
107,255,410
108,255,501
109,255,502
110,255,503
111,255,504
112,255,505
113,255,506
114,255,507
115,255,508
116,255,509
117,255,510
118,255,511
119,255,512
120,255,513
121,255,514
122,255,515
123,255,516
124,255,517
125,255,518
126,262,263
127,263,262
128,268,208
129,269,205
130,269,211
131,269,291
132,269,321
133,269,338
134,269,521
135,269,620
136,269,857
137,287,855
138,291,205
139,291,269
140,291,321
141,291,324
142,291,325
143,291,328
144,291,338
145,291,418
146,291,521
147,291,857
148,301,203
149,301,207
150,301,255
151,301,303
152,301,304
153,301,305
154,301,306
155,301,309
156,301,312
157,301,404
158,301,405
159,301,406
160,301,410
161,301,454
162,301,501
163,301,502
164,301,503
165,301,504
166,301,505
167,301,506
168,301,507
169,301,508
170,301,509
171,301,510
172,301,511
173,301,512
174,301,513
175,301,514
176,301,515
177,301,516
178,301,517
179,301,518
180,303,203
181,303,301
182,303,304
183,303,305
184,303,306
185,303,309
186,303,312
187,303,404
188,303,405
189,303,406
190,303,501
191,303,502
192,303,503
193,303,504
194,303,505
195,303,506
196,303,507
197,303,508
198,303,509
199,303,510
200,303,511
201,303,512
202,303,513
203,303,514
204,303,515
205,303,516
206,303,517
207,303,518
208,304,203
209,304,207
210,304,255
211,304,301
212,304,303
213,304,305
214,304,306
215,304,309
216,304,312
217,304,315
218,304,317
219,304,404
220,304,405
221,304,406
222,304,410
223,304,415
224,304,417
225,304,435
226,304,501
227,304,502
228,304,503
229,304,504
230,304,505
231,304,506
232,304,507
233,304,508
234,304,509
235,304,510
236,304,511
237,304,512
238,304,513
239,304,514
240,304,515
241,304,516
242,304,517
243,304,518
244,305,203
245,305,207
246,305,255
247,305,301
248,305,303
249,305,304
250,305,306
251,305,309
252,305,312
253,305,315
254,305,317
255,305,404
256,305,405
257,305,406
258,305,410
259,305,415
260,305,417
261,305,435
262,305,501
263,305,502
264,305,503
265,305,504
266,305,505
267,305,506
268,305,507
269,305,508
270,305,509
271,305,510
272,305,511
273,305,512
274,305,513
275,305,514
276,305,515
277,305,516
278,305,517
279,305,518
280,306,203
281,306,207
282,306,255
283,306,301
284,306,303
285,306,304
286,306,305
287,306,307
288,306,309
289,306,312
290,306,315
291,306,404
292,306,405
293,306,406
294,306,410
295,306,415
296,306,501
297,306,502
298,306,503
299,306,504
300,306,505
301,306,506
302,306,507
303,306,508
304,306,509
305,306,510
306,306,511
307,306,512
308,306,513
309,306,514
310,306,515
311,306,516
312,306,517
313,306,518
314,307,207
315,307,255
316,307,306
317,307,501
318,307,502
319,307,503
320,307,504
321,307,505
322,307,506
323,307,507
324,307,508
325,307,509
326,307,510
327,307,511
328,307,512
329,307,513
330,307,514
331,307,515
332,307,516
333,307,517
334,307,518
335,309,203
336,309,207
337,309,255
338,309,301
339,309,303
340,309,304
341,309,305
342,309,306
343,309,312
344,309,315
345,309,317
346,309,404
347,309,405
348,309,406
349,309,410
350,309,415
351,309,501
352,309,502
353,309,503
354,309,504
355,309,505
356,309,506
357,309,507
358,309,508
359,309,509
360,309,510
361,309,511
362,309,512
363,309,513
364,309,514
365,309,515
366,309,516
367,309,517
368,309,518
369,312,203
370,312,207
371,312,255
372,312,301
373,312,303
374,312,304
375,312,305
376,312,306
377,312,309
378,312,315
379,312,317
380,312,404
381,312,405
382,312,406
383,312,410
384,312,415
385,312,501
386,312,502
387,312,503
388,312,504
389,312,505
390,312,506
391,312,507
392,312,508
393,312,509
394,312,510
395,312,511
396,312,512
397,312,513
398,312,514
399,312,515
400,312,516
401,312,517
402,312,518
403,315,207
404,315,304
405,315,305
406,315,306
407,315,309
408,315,312
409,315,406
410,317,203
411,317,304
412,317,305
413,317,309
414,317,312
415,317,404
416,317,405
417,317,406
418,317,410
419,317,415
420,317,501
421,317,502
422,317,503
423,317,504
424,317,505
425,317,506
426,317,507
427,317,508
428,317,509
429,317,510
430,317,511
431,317,512
432,317,513
433,317,514
434,317,515
435,317,516
436,317,517
437,317,518
438,318,319
439,318,320
440,318,321
441,318,859
442,319,318
443,319,320
444,319,324
445,319,325
446,319,328
447,319,418
448,319,601
449,319,605
450,319,639
451,319,662
452,319,853
453,319,855
454,319,859
455,320,318
456,320,319
457,320,325
458,320,859
459,321,205
460,321,269
461,321,291
462,321,318
463,321,338
464,321,401
465,321,521
466,323,421
467,323,613
468,323,617
469,323,618
470,324,291
471,324,319
472,324,326
473,324,328
474,324,418
475,324,428
476,324,521
477,324,601
478,324,605
479,324,620
480,324,625
481,324,631
482,324,636
483,324,638
484,324,641
485,324,662
486,324,689
487,324,853
488,324,858
489,325,291
490,325,319
491,325,320
492,325,342
493,325,418
494,325,429
495,325,430
496,325,601
497,325,605
498,325,612
499,325,619
500,325,620
501,325,621
502,325,626
503,325,628
504,325,631
505,325,638
506,325,639
507,325,641
508,325,652
509,325,653
510,325,663
511,325,696
512,325,851
513,326,324
514,326,328
515,326,428
516,326,639
517,328,291
518,328,319
519,328,324
520,328,326
521,328,418
522,328,428
523,328,601
524,328,605
525,328,636
526,328,641
527,338,269
528,338,291
529,338,321
530,338,521
531,341,343
532,342,325
533,342,343
534,342,638
535,342,641
536,343,341
537,343,342
538,343,638
539,343,641
540,343,855
541,401,321
542,404,203
543,404,207
544,404,301
545,404,303
546,404,304
547,404,305
548,404,306
549,404,309
550,404,312
551,404,317
552,404,405
553,404,406
554,404,410
555,404,415
556,404,417
557,404,432
558,404,435
559,404,501
560,404,502
561,404,503
562,404,504
563,404,505
564,404,506
565,404,507
566,404,508
567,404,509
568,404,510
569,404,511
570,404,512
571,404,513
572,404,514
573,404,515
574,404,516
575,404,517
576,404,518
577,405,203
578,405,207
579,405,255
580,405,301
581,405,303
582,405,304
583,405,305
584,405,306
585,405,309
586,405,312
587,405,317
588,405,404
589,405,406
590,405,410
591,405,415
592,405,417
593,405,421
594,405,432
595,405,435
596,405,454
597,405,501
598,405,502
599,405,503
600,405,504
601,405,505
602,405,506
603,405,507
604,405,508
605,405,509
606,405,510
607,405,511
608,405,512
609,405,513
610,405,514
611,405,515
612,405,516
613,405,517
614,405,518
615,406,203
616,406,207
617,406,255
618,406,301
619,406,303
620,406,304
621,406,305
622,406,306
623,406,309
624,406,312
625,406,315
626,406,317
627,406,404
628,406,405
629,406,410
630,406,415
631,406,417
632,406,435
633,406,454
634,406,501
635,406,502
636,406,503
637,406,504
638,406,505
639,406,506
640,406,507
641,406,508
642,406,509
643,406,510
644,406,511
645,406,512
646,406,513
647,406,514
648,406,515
649,406,516
650,406,517
651,406,518
652,410,203
653,410,207
654,410,255
655,410,301
656,410,304
657,410,305
658,410,306
659,410,309
660,410,312
661,410,317
662,410,404
663,410,405
664,410,406
665,410,415
666,410,417
667,410,432
668,410,435
669,410,501
670,410,502
671,410,503
672,410,504
673,410,505
674,410,506
675,410,507
676,410,508
677,410,509
678,410,510
679,410,511
680,410,512
681,410,513
682,410,514
683,410,515
684,410,516
685,410,517
686,410,518
687,415,203
688,415,207
689,415,304
690,415,305
691,415,306
692,415,309
693,415,312
694,415,317
695,415,404
696,415,405
697,415,406
698,415,410
699,415,417
700,415,421
701,415,432
702,415,435
703,415,501
704,415,502
705,415,503
706,415,504
707,415,505
708,415,506
709,415,507
710,415,508
711,415,509
712,415,510
713,415,511
714,415,512
715,415,513
716,415,514
717,415,515
718,415,516
719,415,517
720,415,518
721,417,203
722,417,304
723,417,305
724,417,404
725,417,405
726,417,406
727,417,410
728,417,415
729,417,432
730,417,435
731,417,501
732,417,502
733,417,503
734,417,504
735,417,505
736,417,506
737,417,507
738,417,508
739,417,509
740,417,510
741,417,511
742,417,512
743,417,513
744,417,514
745,417,515
746,417,516
747,417,517
748,417,518
749,418,291
750,418,319
751,418,324
752,418,325
753,418,328
754,418,428
755,418,521
756,418,601
757,418,605
758,418,620
759,418,636
760,418,662
761,418,663
762,418,693
763,418,853
764,418,858
765,421,204
766,421,323
767,421,405
768,421,415
769,421,606
770,421,613
771,421,617
772,421,618
773,421,645
774,421,646
775,428,324
776,428,326
777,428,328
778,428,418
779,428,521
780,428,601
781,428,620
782,428,636
783,428,662
784,428,853
785,428,858
786,429,325
787,430,325
788,431,521
789,432,404
790,432,405
791,432,410
792,432,415
793,432,417
794,432,435
795,432,501
796,432,502
797,432,503
798,432,504
799,432,505
800,432,506
801,432,507
802,432,508
